state_fips,county_fips,tract_fips,fips,state,totalpopulation,Female,Male,<15,15–17,18–24,25–34,35–44,45–54,55–64,>65,White,Black,Hispanic,Asian,Less_Than_High_School,High_School,No_College,Bachelor,Graduate,<20K,20K–30K,30K–50K,50K–100K,>100K,ratio_poverty,ratio_high_school,ratio_uninsured,ratio_unemploy,median_income,ratio_high_rent_housing,ratio_mortgage_housing,blockgroup_fips,NAME,GEOID
45,45055,45,450559705005,sc,1353,0.4611973392461197,0.5388026607538803,0.1899482631189948,0.0266075388026607,0.0236511456023651,0.0938654841093865,0.0938654841093865,0.0938654841093865,0.0739098300073909,0.3340724316334072,0.7184035476718403,0.0938654841093865,0.1759053954175905,0.0,0.0311203319502074,0.0871369294605809,0.1182572614107883,0.1317427385892116,0.1431535269709543,0.093984962406015,0.0864661654135338,0.0996240601503759,0.4060150375939849,0.2781954887218045,0.0583887657058388,0.0653526970954356,0.1167775314116777,0.0426356589147286,79605.0,0.6717557251908397,0.0872817955112219,450559705005,Kershaw,45055
45,45055,45,450559706011,sc,1620,0.5746913580246914,0.4253086419753086,0.1716049382716049,0.0216049382716049,0.0746913580246913,0.078395061728395,0.0401234567901234,0.078395061728395,0.078395061728395,0.1771604938271604,0.6141975308641975,0.078395061728395,0.2481481481481481,0.0,0.1239024390243902,0.4117073170731707,0.535609756097561,0.0858536585365853,0.0,0.3624161073825503,0.0514541387024608,0.2438478747203579,0.1789709172259508,0.16331096196868,0.3814814814814815,0.2975609756097561,0.2419753086419753,0.025402201524132,41046.0,0.0956521739130434,0.036144578313253,450559706011,Kershaw,45055
45,45055,45,450559706012,sc,516,0.5891472868217055,0.4108527131782946,0.2810077519379845,0.0,0.0833333333333333,0.1550387596899224,0.0581395348837209,0.0426356589147286,0.0600775193798449,0.4457364341085271,0.7054263565891473,0.2461240310077519,0.0135658914728682,0.0,0.1987381703470031,0.2965299684542586,0.4952681388012618,0.0946372239747634,0.0,0.0797872340425532,0.2712765957446808,0.0851063829787234,0.4680851063829787,0.0957446808510638,0.1395348837209302,0.1987381703470031,0.1065891472868217,0.0,51667.0,0.0,0.1052631578947368,450559706012,Kershaw,45055
45,45055,45,450559706013,sc,952,0.5651260504201681,0.4348739495798319,0.2668067226890756,0.0,0.0619747899159663,0.0336134453781512,0.1334033613445378,0.1334033613445378,0.0199579831932773,0.1775210084033613,0.7310924369747899,0.1144957983193277,0.0,0.0,0.0483005366726296,0.3398926654740608,0.3881932021466905,0.0608228980322003,0.1323792486583184,0.298780487804878,0.0457317073170731,0.0670731707317073,0.3536585365853658,0.2347560975609756,0.1428571428571428,0.3398926654740608,0.0,0.0436893203883495,58864.0,1.0,0.096551724137931,450559706013,Kershaw,45055
45,45055,45,450559706014,sc,1198,0.5567612687813022,0.4432387312186978,0.0692821368948247,0.0584307178631051,0.0559265442404006,0.1060100166944908,0.1060100166944908,0.1060100166944908,0.1060100166944908,0.2495826377295492,0.6569282136894825,0.1060100166944908,0.0258764607679465,0.0,0.0695296523517382,0.5613496932515337,0.630879345603272,0.0296523517382413,0.0,0.1652613827993254,0.3844856661045531,0.1146711635750421,0.2731871838111298,0.0489038785834738,0.0,0.5132924335378323,0.0851419031719532,0.0771300448430493,29143.0,0.80625,0.1270207852193995,450559706014,Kershaw,45055
45,45055,45,450559706015,sc,782,0.3785166240409207,0.6214833759590793,0.0933503836317135,0.0601023017902813,0.1406649616368286,0.0997442455242966,0.0639386189258312,0.1624040920716112,0.1624040920716112,0.1048593350383631,0.7595907928388747,0.1624040920716112,0.0,0.0,0.1485507246376811,0.4728260869565217,0.6213768115942029,0.0,0.0688405797101449,0.445475638051044,0.0881670533642691,0.2621809744779582,0.2041763341067285,0.0,0.4820971867007673,0.3242753623188406,0.3797953964194373,0.1480959097320169,25234.0,0.6762589928057554,0.3938356164383562,450559706015,Kershaw,45055
45,45055,45,450559706016,sc,900,0.4622222222222222,0.5377777777777778,0.2711111111111111,0.0288888888888888,0.0555555555555555,0.1411111111111111,0.0388888888888888,0.1411111111111111,0.0555555555555555,0.2055555555555555,0.6122222222222222,0.1411111111111111,0.0,0.0,0.2387218045112782,0.2725563909774436,0.5112781954887218,0.1296992481203007,0.2293233082706766,0.1245421245421245,0.1172161172161172,0.3186813186813186,0.2783882783882784,0.1611721611721611,0.0788888888888888,0.2725563909774436,0.1466666666666666,0.100328947368421,,1.0,0.2837209302325581,450559706016,Kershaw,45055
45,45055,45,450559706021,sc,905,0.5348066298342542,0.4651933701657458,0.1712707182320442,0.0806629834254143,0.0585635359116022,0.0,0.1403314917127071,0.1403314917127071,0.1204419889502762,0.2972375690607735,0.8243093922651934,0.0353591160220994,0.0939226519337016,0.0,0.1442307692307692,0.3653846153846153,0.5096153846153846,0.0544871794871794,0.1057692307692307,0.4709302325581395,0.063953488372093,0.1744186046511628,0.2122093023255813,0.0784883720930232,0.4685082872928177,0.3125,0.2917127071823204,0.0946666666666666,,0.0985915492957746,0.3846153846153846,450559706021,Kershaw,45055
45,45055,45,450559706022,sc,2394,0.4406850459482038,0.5593149540517962,0.1591478696741854,0.0284043441938178,0.0405179615705931,0.0530492898913951,0.0530492898913951,0.0530492898913951,0.0530492898913951,0.1328320802005012,0.8070175438596491,0.0530492898913951,0.0,0.0,0.0795241077019411,0.3876017532874139,0.467125860989355,0.0112711333750782,0.0288040075140889,0.2058111380145278,0.1319612590799031,0.2058111380145278,0.3075060532687651,0.148910411622276,0.0747702589807852,0.3619286161552911,0.093984962406015,0.0348372358652198,48421.0,0.0576923076923076,0.1328358208955224,450559706022,Kershaw,45055
45,45055,45,450559706023,sc,1402,0.5278174037089871,0.4721825962910128,0.1262482168330956,0.0328102710413694,0.0905848787446505,0.0905848787446505,0.0570613409415121,0.0905848787446505,0.0905848787446505,0.3031383737517831,0.6547788873038516,0.0905848787446505,0.0,0.0,0.1224686595949855,0.4310511089681774,0.553519768563163,0.0549662487945998,0.0675024108003857,0.3127035830618892,0.1042345276872964,0.1026058631921824,0.3827361563517915,0.0732899022801303,0.2282453637660485,0.4185149469623915,0.0927246790299572,0.0204081632653061,38750.0,0.1269841269841269,0.1946721311475409,450559706023,Kershaw,45055
